step,tokens,train_loss,val_loss,lr,tok_per_sec
1350,353894400,3.7325,,1.687500e-04,50316
1360,356515840,3.7259,,1.700000e-04,50310
1370,359137280,3.6926,,1.712500e-04,50297
1380,361758720,3.7014,,1.725000e-04,50310
1390,364380160,3.7381,,1.737500e-04,50320
1400,367001600,3.6616,,1.750000e-04,50296
1410,369623040,3.7167,,1.762500e-04,50278
1420,372244480,3.6756,,1.775000e-04,50291
1430,374865920,3.6828,,1.787500e-04,50295
1440,377487360,3.6698,,1.800000e-04,50279
1450,380108800,3.6523,,1.812500e-04,50280
1460,382730240,3.6447,,1.825000e-04,50274
1470,385351680,3.6694,,1.837500e-04,50287
1480,387973120,3.6506,,1.850000e-04,50291
1490,390594560,3.6573,,1.862500e-04,50267
1500,393216000,3.6448,,1.875000e-04,50293
1500,393216000,,3.6499,1.875000e-04,
1510,395837440,3.6510,,1.887500e-04,50964
1520,398458880,3.6537,,1.900000e-04,50478
1530,401080320,3.6124,,1.912500e-04,50363
1540,403701760,3.6113,,1.925000e-04,50343
1550,406323200,3.6095,,1.937500e-04,50326
1560,408944640,3.6216,,1.950000e-04,50333
1570,411566080,3.6142,,1.962500e-04,50316
1580,414187520,3.6262,,1.975000e-04,50299
1590,416808960,3.6229,,1.987500e-04,50342
1600,419430400,3.6372,,2.000000e-04,50342
1610,422051840,3.5862,,2.012500e-04,50358
1620,424673280,3.6115,,2.025000e-04,50326
1630,427294720,3.6044,,2.037500e-04,50346
1640,429916160,3.5843,,2.050000e-04,50338
1650,432537600,3.5829,,2.062500e-04,50341
1660,435159040,3.5990,,2.075000e-04,50337
1670,437780480,3.5842,,2.087500e-04,50344
1680,440401920,3.5920,,2.100000e-04,50343
1690,443023360,3.5603,,2.112500e-04,50351
1700,445644800,3.5604,,2.125000e-04,50324
1710,448266240,3.5636,,2.137500e-04,50386
1720,450887680,3.5899,,2.150000e-04,50402
1730,453509120,3.5470,,2.162500e-04,50381
1740,456130560,3.5458,,2.175000e-04,50402
1750,458752000,3.5676,,2.187500e-04,50430
1760,461373440,3.5732,,2.200000e-04,50422
1770,463994880,3.5684,,2.212500e-04,50419
1780,466616320,3.5578,,2.225000e-04,50426
1790,469237760,3.5459,,2.237500e-04,50429
1800,471859200,3.5421,,2.250000e-04,50442
1810,474480640,3.5265,,2.262500e-04,50378
1820,477102080,3.5136,,2.275000e-04,50370
1830,479723520,3.5174,,2.287500e-04,50389
1840,482344960,3.5297,,2.300000e-04,50330
1850,484966400,3.5145,,2.312500e-04,50320
1860,487587840,3.5213,,2.325000e-04,50328
1870,490209280,3.5456,,2.337500e-04,50314
1880,492830720,3.5362,,2.350000e-04,50347
1890,495452160,3.4983,,2.362500e-04,50338
1900,498073600,3.5174,,2.375000e-04,50321
1910,500695040,3.5414,,2.387500e-04,50350
1920,503316480,3.5443,,2.400000e-04,50325
1930,505937920,3.5103,,2.412500e-04,50342
1940,508559360,3.5108,,2.425000e-04,50332
1950,511180800,3.5294,,2.437500e-04,50332
1960,513802240,3.5420,,2.450000e-04,50353
1970,516423680,3.4922,,2.462500e-04,50340
1980,519045120,3.5124,,2.475000e-04,50339
1990,521666560,3.4873,,2.487500e-04,50344
2000,524288000,3.4971,,2.500000e-04,50344
2000,524288000,,3.5047,2.500000e-04,
2010,526909440,3.4968,,2.500000e-04,51042
2020,529530880,3.4906,,2.499999e-04,50498
2030,532152320,3.4857,,2.499998e-04,50415
2040,534773760,3.4990,,2.499997e-04,50398
2050,537395200,3.4872,,2.499996e-04,50384
2060,540016640,3.4536,,2.499994e-04,50379
2070,542638080,3.5061,,2.499991e-04,50388
2080,545259520,3.4620,,2.499989e-04,50383
2090,547880960,3.4990,,2.499986e-04,50401
2100,550502400,3.4907,,2.499982e-04,50365
2110,553123840,3.4754,,2.499978e-04,50390
2120,555745280,3.4728,,2.499974e-04,50385
2130,558366720,3.4933,,2.499970e-04,50366
2140,560988160,3.4646,,2.499965e-04,50382
2150,563609600,3.4817,,2.499960e-04,50387
2160,566231040,3.4750,,2.499954e-04,50368
2170,568852480,3.4657,,2.499948e-04,50382
2180,571473920,3.4276,,2.499942e-04,50379
2190,574095360,3.4752,,2.499935e-04,50383
2200,576716800,3.4743,,2.499928e-04,50380
2210,579338240,3.4655,,2.499920e-04,50416
2220,581959680,3.4585,,2.499913e-04,50400
2230,584581120,3.4737,,2.499905e-04,50357
2240,587202560,3.4529,,2.499896e-04,50393
2250,589824000,3.4711,,2.499887e-04,50399
2260,592445440,3.4480,,2.499878e-04,50421
2270,595066880,3.4558,,2.499868e-04,50404
2280,597688320,3.4319,,2.499858e-04,50407
2290,600309760,3.4586,,2.499848e-04,50383
2300,602931200,3.4328,,2.499837e-04,50414
2310,605552640,3.4208,,2.499826e-04,50431
2320,608174080,3.4331,,2.499815e-04,50413
2330,610795520,3.4184,,2.499803e-04,50419
2340,613416960,3.4007,,2.499791e-04,50399
2350,616038400,3.4187,,2.499778e-04,50439
2360,618659840,3.4151,,2.499765e-04,50406
2370,621281280,3.3948,,2.499752e-04,50426
2380,623902720,3.4159,,2.499738e-04,50399
2390,626524160,3.4075,,2.499725e-04,50407
2400,629145600,3.4032,,2.499710e-04,50428
2410,631767040,3.4048,,2.499695e-04,50438
2420,634388480,3.4164,,2.499680e-04,50441
2430,637009920,3.4562,,2.499665e-04,50421
2440,639631360,3.4085,,2.499649e-04,50425
2450,642252800,3.4008,,2.499633e-04,50431
2460,644874240,3.4184,,2.499616e-04,50412
2470,647495680,3.4022,,2.499600e-04,50443
2480,650117120,3.3933,,2.499582e-04,50471
2490,652738560,3.3911,,2.499565e-04,50455
2500,655360000,3.4115,,2.499547e-04,50434
2500,655360000,,3.3944,2.499547e-04,
10,2621440,25.9802,,1.250000e-06,21415
2010,526909440,4.0752,,2.500000e-04,21725
2020,529530880,3.7521,,2.499999e-04,50878
2030,532152320,3.5810,,2.499998e-04,24125
2040,534773760,3.5232,,2.499997e-04,50838
2050,537395200,3.5451,,2.499996e-04,50701
2060,540016640,3.5249,,2.499994e-04,48809
2070,542638080,3.5090,,2.499991e-04,50688
2080,545259520,3.4767,,2.499989e-04,50680
2090,547880960,3.4751,,2.499986e-04,50645
2100,550502400,3.5010,,2.499982e-04,50687
2110,553123840,3.4704,,2.499978e-04,49347
2120,555745280,3.5074,,2.499974e-04,50696
2130,558366720,3.5051,,2.499970e-04,50716
2140,560988160,3.5056,,2.499965e-04,50696
2150,563609600,3.4786,,2.499960e-04,50713
2160,566231040,3.4698,,2.499954e-04,50718
2170,568852480,3.4495,,2.499948e-04,50727
2180,571473920,3.4743,,2.499942e-04,50737
2190,574095360,3.4470,,2.499935e-04,50733
2200,576716800,3.4498,,2.499928e-04,50729
2210,579338240,3.4897,,2.499920e-04,50684
2220,581959680,3.5052,,2.499913e-04,50700
2230,584581120,3.4600,,2.499905e-04,50694
2240,587202560,3.4518,,2.499896e-04,50716
2250,589824000,3.4229,,2.499887e-04,50689
2260,592445440,3.4595,,2.499878e-04,50698
2270,595066880,3.4227,,2.499868e-04,50687
2280,597688320,3.4523,,2.499858e-04,50678
2290,600309760,3.4426,,2.499848e-04,50684
2300,602931200,3.4597,,2.499837e-04,50674
2310,605552640,3.4236,,2.499826e-04,50680
2320,608174080,3.4508,,2.499815e-04,50706
2330,610795520,3.4398,,2.499803e-04,50700
2340,613416960,3.4313,,2.499791e-04,50686
2350,616038400,3.4384,,2.499778e-04,50692
2360,618659840,3.4131,,2.499765e-04,50700
2370,621281280,3.4282,,2.499752e-04,50662
